gtin	descricao	preco	product_url	url_photo
1935.0	Coxa e Sobrecoxa de Frango Copacol Pacote	9.98	http://www.comper.com.br/coxa-e-sobrecoxa-de-frango-copacol-pacote/p	https://comper.vteximg.com.br/arquivos/ids/189168-1000-1000/939374.jpg?v=637602467104570000
7898641047057.0	Frango a Passarinho Bello 800g	9.98	http://www.comper.com.br/frango-a-passarinho-bello-800g/p	https://comper.vteximg.com.br/arquivos/ids/181853-1000-1000/2610353_FrangoPassarinhoBello800g.jpg?v=637456212346430000
7894904204557.0	Linguiça Suína Seara Defumada Fininha 215g	4.99	http://www.comper.com.br/linguica-suina-seara-defumada-fininha-215g/p	https://comper.vteximg.com.br/arquivos/ids/187353-1000-1000/2529130_1.jpg?v=637535005060130000
7898903838669.0	Filé de Tilápia Tilly Sem Pele 800g	28.98	http://www.comper.com.br/file-de-tilapia-tilly-sem-pele-800g/p	https://comper.vteximg.com.br/arquivos/ids/159882-1000-1000/2109255.jpg?v=637210527255500000
3330.0	Paleta Bovina Bife	17.49	http://www.comper.com.br/paleta-bovina-bife/p	https://comper.vteximg.com.br/arquivos/ids/180648-1000-1000/1655302.jpg?v=637423672678800000
3324.0	Coxão Mole Bovino	22.25	http://www.comper.com.br/coxao-mole-bovino/p	https://comper.vteximg.com.br/arquivos/ids/181711-1000-1000/1654497coxao-mole.jpg?v=637439077760500000
3189.0	Carne Moída de Dianteiro Bovino	17.49	http://www.comper.com.br/carne-moida-de-dianteiro-bovino/p	https://comper.vteximg.com.br/arquivos/ids/199869-1000-1000/1646826_Carne-Moida-de-Dianteiro-Bovino.jpg?v=637697202529470000
3183.0	Carne Moída de Traseiro Bovino	16.49	http://www.comper.com.br/carne-moida-de-traseiro-bovino/p	https://comper.vteximg.com.br/arquivos/ids/182014-1000-1000/1646591.jpg?v=637467663816970000
2683.0	Pernil Suíno com Osso Toucinho	8.49	http://www.comper.com.br/pernil-suino-com-osso-toucinho/p	https://comper.vteximg.com.br/arquivos/ids/182342-1000-1000/1535528-pernil-suino.jpg?v=637485967666200000
7894904727186.0	Linguiça Toscana Seara 700g	17.98	http://www.comper.com.br/linguica-toscana-seara-700g/p	https://comper.vteximg.com.br/arquivos/ids/188394-1000-1000/1273507_1.jpg?v=637553879327000000
7894904792306.0	Filé de Peito de Frango Seara 1kg	25.98	http://www.comper.com.br/file-de-peito-de-frango-seara-1kg/p	https://comper.vteximg.com.br/arquivos/ids/177387-1000-1000/File--Peito-IQF_EAN_7894904792306.jpg?v=637317962632930000
7893000081598.0	Sobrecoxa de Frango Sadia Frango Fácil Temperada 800g	20.98	http://www.comper.com.br/sobrecoxa-de-frango-sadia-frango-facil-temperada-800g/p	https://comper.vteximg.com.br/arquivos/ids/178598-1000-1000/Sobrecoxa-de-Frango-Congelada-Temperada-Sadia-Frango-Facil-800g.jpg?v=637362879783670000
